MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
BAKUN,IRRIGATED,2015,OCT,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,NOV,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,DEC,CAULIFLOWER,5,5,55,11
BAKUN,IRRIGATED,2015,JAN,BROCCOLI,0.98,5,55,11
BAKUN,IRRIGATED,2015,FEB,BROCCOLI,1,5,55,11
BAKUN,IRRIGATED,2015,MAR,BROCCOLI,1.73,0.98,7.84,8
BAKUN,IRRIGATED,2015,APR,BROCCOLI,1.79,1,8,8
BAKUN,IRRIGATED,2015,MAY,BROCCOLI,1.81,1.73,13.84,8
BAKUN,IRRIGATED,2015,JUN,BROCCOLI,5,1.79,14.32,8
BAKUN,IRRIGATED,2015,JUL,BROCCOLI,5,1.81,14.48,8
BAKUN,IRRIGATED,2015,AUG,BROCCOLI,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,BROCCOLI,1.04,5,55,11
BAKUN,IRRIGATED,2015,OCT,BROCCOLI,1.84,5,55,11
BAKUN,IRRIGATED,2015,NOV,BROCCOLI,1.01,1.04,10.4,10
BAKUN,IRRIGATED,2015,DEC,BROCCOLI,0.7,1.84,15,8.15
BAKUN,IRRIGATED,2015,JAN,SNAP BEANS,13.03,5,55,11
BAKUN,IRRIGATED,2015,FEB,SNAP BEANS,11.4,5,55,11
BAKUN,IRRIGATED,2015,MAR,SNAP BEANS,9.4,13.03,130.3,10
BAKUN,IRRIGATED,2015,APR,SNAP BEANS,14.22,11.4,114,10
BAKUN,IRRIGATED,2015,MAY,SNAP BEANS,10.92,9.4,94,10
BAKUN,IRRIGATED,2015,JUN,SNAP BEANS,5,14.22,142.2,10
BAKUN,IRRIGATED,2015,JUL,SNAP BEANS,5,10.92,109.2,10
BAKUN,IRRIGATED,2015,AUG,SNAP BEANS,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,SNAP BEANS,10.7,5,55,11
BAKUN,IRRIGATED,2015,OCT,SNAP BEANS,10.12,5,55,11
BAKUN,IRRIGATED,2015,NOV,SNAP BEANS,10.09,10.7,107,10
BAKUN,IRRIGATED,2015,DEC,SNAP BEANS,11.42,10.12,101.2,10
BAKUN,IRRIGATED,2015,JAN,GARDEN PEAS,7.87,5,55,11
BAKUN,IRRIGATED,2015,FEB,GARDEN PEAS,7.1,5,55,11
BAKUN,IRRIGATED,2015,MAR,GARDEN PEAS,10.1,7.87,47.22,6
BAKUN,IRRIGATED,2015,APR,GARDEN PEAS,6.1,7.1,42.6,6
BAKUN,IRRIGATED,2015,MAY,GARDEN PEAS,6.35,10.1,60.6,6
BAKUN,IRRIGATED,2015,JUN,GARDEN PEAS,5,6.1,36.6,6
BAKUN,IRRIGATED,2015,JUL,GARDEN PEAS,5,6.35,38.1,6
BAKUN,IRRIGATED,2015,AUG,GARDEN PEAS,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,GARDEN PEAS,8,5,55,11
BAKUN,IRRIGATED,2015,OCT,GARDEN PEAS,10,5,55,11
BAKUN,IRRIGATED,2015,NOV,GARDEN PEAS,5.98,8,48,6
BAKUN,IRRIGATED,2015,DEC,GARDEN PEAS,6.5,10,60,6
BAKUN,IRRIGATED,2015,JAN,SWEET PEPPER,8.86,5,55,11
BAKUN,IRRIGATED,2015,FEB,SWEET PEPPER,13.39,5,55,11
BAKUN,IRRIGATED,2015,MAR,SWEET PEPPER,7.71,8.86,70.88,8
BAKUN,IRRIGATED,2015,APR,SWEET PEPPER,9.39,13.39,107.12,8
BAKUN,IRRIGATED,2015,MAY,SWEET PEPPER,7.36,7.71,55.92,7.25
BAKUN,IRRIGATED,2015,JUN,SWEET PEPPER,5,9.39,75.12,8
BAKUN,IRRIGATED,2015,JUL,SWEET PEPPER,5,7.36,58.88,8
BAKUN,IRRIGATED,2015,AUG,SWEET PEPPER,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,SWEET PEPPER,10.01,5,55,11
BAKUN,IRRIGATED,2015,OCT,SWEET PEPPER,7.12,5,55,11
BAKUN,IRRIGATED,2015,NOV,SWEET PEPPER,7.14,10.01,80.08,8
BAKUN,IRRIGATED,2015,DEC,SWEET PEPPER,9.4,7.12,59.96,8.42
BAKUN,IRRIGATED,2015,JAN,WHITE POTATO,101.94,5,55,11
BAKUN,IRRIGATED,2015,FEB,WHITE POTATO,166.45,5,55,11
BAKUN,IRRIGATED,2015,MAR,WHITE POTATO,125.4,101.94,2038.8,20
BAKUN,IRRIGATED,2015,APR,WHITE POTATO,73.32,166.45,3329,20
BAKUN,IRRIGATED,2015,MAY,WHITE POTATO,73.43,125.4,2508,20
BAKUN,IRRIGATED,2015,JUN,WHITE POTATO,5,73.32,1466.4,20
BAKUN,IRRIGATED,2015,JUL,WHITE POTATO,5,73.43,1468.6,20
BAKUN,IRRIGATED,2015,AUG,WHITE POTATO,5,5,55,11
BAKUN,IRRIGATED,2015,SEP,WHITE POTATO,135.88,5,55,11
BAKUN,IRRIGATED,2015,OCT,WHITE POTATO,132.78,5,55,11
BAKUN,IRRIGATED,2015,NOV,WHITE POTATO,71.45,135.88,2717.6,20
BAKUN,IRRIGATED,2015,DEC,WHITE POTATO,69.61,132.78,2655.6,20
BAKUN,IRRIGATED,2015,JAN,CARROTS,18.77,5,55,11
BAKUN,IRRIGATED,2015,FEB,CARROTS,20.89,5,55,11
BAKUN,IRRIGATED,2015,MAR,CARROTS,31.73,18.77,300.32,16
BAKUN,IRRIGATED,2015,APR,CARROTS,24.84,20.89,334.24,16
BAKUN,IRRIGATED,2015,MAY,CARROTS,22.88,31.73,507.68,16
BAKUN,IRRIGATED,2015,JUN,CARROTS,5,24.84,397.44,16
BAKUN,IRRIGATED,2015,JUL,CARROTS,5,22.88,366.08,16
